"e_id","e_type","first_name","last_name","dob","address","gender","phone_number","emergency_contact","date_of_joining","date_of_resigning"
1,"DOC","Ramesh","Patel","1968-04-11","xxx yyy zz","M","506094","724470","2000-11-04",NULL
2,"DOC","Suresh","Upadhyay","1966-04-19","hdgd","M","737430","232422","2000-11-08",NULL
3,"DOC","Jalpa","Asthana","1965-01-24","ttt hhh","F","428782","135343","2000-09-03",NULL
4,"DOC","Jaydeep","Parekh","1970-01-05","hhh sjsk","M","919753","578678","2000-05-04",NULL
5,"DOC","Feny","Gadhiya","1953-03-25","xxx yyy jjjj","F","687454","484171","2000-02-07",NULL
6,"DOC","Shahbaz","Khan","1964-09-01","ddd ff gg","M","888869","922244","2000-01-08",NULL
7,"DOC","Falguni","Pathak","1962-11-08","ff shsh sh","F","623089","384222","2001-08-24",NULL
8,"DOC","Raj","Malhotra","1958-10-26","yyy ccc xxx","M","836880","425568","2002-06-29",NULL
9,"DOC","Abhishek","Patel","1974-01-06","fff rrr sjjs","M","696016","193778","2000-06-12",NULL
10,"DOC","Bhakti","Dedania","1977-04-05","vvv xxx zzz","F","267510","399106","2001-05-18",NULL
11,"DOC","Shanaya","Chaudhary","1977-08-02","sss ddd","F","310209","547446","2000-12-14",NULL
12,"DOC","Kuldeep","Gajjar","1983-06-19","ggg","M","726341","941983","2001-01-11",NULL
13,"DOC","Yash","Shihora","1968-07-19","ggghfhd","M","721280","166937","2002-09-12",NULL
14,"DOC","Rutvik","Patil","1961-01-10","fff","M","323424","303785","2002-10-08",NULL
15,"DOC","Yogesh","Modi","1969-03-23","hrewks","M","894026","631161","2003-03-16",NULL
16,"DOC","Neeta","Singh","1963-07-13","jkers","F","436637","60492","2001-11-25","2010-03-14"
17,"DOC","Tarang","Pathak","1962-08-28","rrr eee www","M","603352","769737","2000-08-06",NULL
18,"DOC","Harish","Chandra","1974-04-27","uuu yyy","M","664857","679941","2011-07-13","2018-02-15"
19,"DOC","Jagruti","Nath","1976-02-01","hhh","F","680042","866261","2018-01-28",NULL
20,"DOC","Payal","Tanna","1980-06-13","ddd rrr eee","F","55669","588818","2016-11-06",NULL
21,"DOC","Shailesh","Jadeja","1976-04-20","aa ddgjss","M","604624","251582","2009-02-24",NULL
22,"DOC","Harish","Chandra","1984-02-05","q234jfh jdh","M","17508","1007833","2011-05-12",NULL
23,"DOC","Shyam","Jadeja","1973-10-05","xlpc3r4x1l19jn7snu","M","104604","144129","2013-05-03",NULL
24,"DOC","Ram","Jadwani","1963-09-13","ui6thqho74iypf8ytt","M","538123","500829","2016-03-24",NULL
25,"DOC","Sheila","Yadav","1977-12-11","24iosvtaos5siu8vfp","F","194268","182465","2013-11-07",NULL
26,"DOC","Rahul","Khurana","1982-09-23","ts4048amt7kg653nk4","M","315619","331362","2015-03-01",NULL
27,"DOC","Jasmine","Kundani","1968-04-11","zhdaukj7z2fzq5hq88","F","750669","944371","2009-11-04","2017-03-30"
28,"DOC","Kajal","Tiwari","1981-03-16","82uijrqfybkcmsnm19","F","100021","614616","2018-06-12",NULL
29,"DOC","Nayan","Patel","1966-05-24","8hmmdu3um6z971xjzr","M","396174","737048","2015-04-10",NULL
30,"DOC","Aarav","Duggal","1974-01-06","7e85sd97470aeg6fg2","M","745499","876906","2017-06-01",NULL
31,"DOC","Farah","Khanna","1966-09-24","icl25rncksji9kc438","F","389241","229456","2017-04-15",NULL
32,"DOC","Shubham","Pandya","1976-01-05","cu1m7rebvhrjy7fusf","M","580203","717798","2011-05-09",NULL
33,"DOC","Hardik","Kohli","1973-04-27","2mqhbeg73fcl49zp05","M","230389","709202","2016-02-01",NULL
34,"DOC","Rohit","Sharma","1967-03-17","6uc4a8mvkmm8l1765p","M","442536","667364","2015-07-12",NULL
35,"DOC","Mohammad","Shami","1981-10-13","33va44htejqn0vcsev","M","786536","664815","2017-03-13",NULL
36,"DOC","Shikhar","Dhawan","1980-08-07","0b17xqzaarmibi9wus","M","330003","221000","2015-07-11",NULL
37,"DOC","Purvi","Gajjar","1969-11-11","n326o4jzhlt8ybp69o","F","281709","600688","2003-11-07","2018-05-25"
38,"DOC","Krina","Savaliya","1978-11-27","9vn5kjf84ezpci8xa2","F","302242","106471","2018-07-07",NULL
39,"DOC","Geeta","Tanna","1970-10-14","rpzg85o16wmqczauc0","F","890535","488479","2015-04-01",NULL
40,"DOC","Shivam","Parekh","1964-06-06","rz94tb2tx9powrop5j","M","580315","967853","2017-06-12",NULL
41,"DOC","Gayatri ","Deshmukh","1962-05-11","4boyk9n09gxvwktnhd","F","917721","604163","2012-11-02",NULL
42,"DOC","Hitarth","Pandya","1969-09-27","s68b8l54jr4efmncr7","M","461504","935975","2014-07-11",NULL
43,"DOC","Sudesh","Parikh","1979-03-08","3hpw7lmn6utaq6f3nr","M","351946","40600","2009-08-07","2017-09-08"
44,"DOC","Maniklal","Shah","1982-08-22","gso3ljbfhkrft9bwwp","M","953173","319933","2017-12-11",NULL
45,"DOC","Kuldeep","Gupta","1979-03-15","iiva85l3q402hi3hbo","M","759789","510331","2012-01-07",NULL
46,"DOC","Harsh","Sharma","1963-11-01","lrhhebmrpgce1xfzmd","M","138091","854638","2018-11-07",NULL
47,"DOC","Raghu","Sinha","1980-06-20","b5mwg07p1sidmj3nkx","M","882052","738120","2017-10-07",NULL
48,"DOC","Aarushi","Talwar","1961-03-15","bjteu697b1j2nalfb0","F","933013","888493","2016-12-09",NULL
49,"DOC","Harshil","Mehta","1969-08-01","ayr9dozbvyvn1iskfn","M","959017","858336","2009-11-08",NULL
50,"DOC","Hariprasad","Singhania","1972-08-25","0i57hftcdjkwvp4cb9","M","24191","22894","2010-05-11",NULL
51,"NUR","Shivani","Malhotra","1961-02-02","r0qk8gc455rldq2rc6","F","143389","94049","2016-12-11",NULL
52,"NUR","Jhanvi","Joshi","1961-02-26","35z754bwr9ch9x2h69","F","248533","295111","2018-06-01",NULL
53,"NUR","Kanika","Gupta","1965-01-26","bl1zhs7k87wgsailb0","F","806656","975846","2018-06-04",NULL
54,"NUR","Leela","Singhania","1984-02-01","2us3r3wie6nsbraitp","F","149679","238472","2011-01-04",NULL
55,"NUR","Sita","Chokhani","1965-11-03","idqew2gscfupinjifu","F","13865","214284","2018-03-02",NULL
56,"NUR","Raghunath","Bharani","1963-07-02","ltgqsztgowuc74o52o","M","139460","773010","2013-02-01",NULL
57,"NUR","Vikas","Nair","1976-12-27","tq2baj8bpwfvnvoldw","M","70873","971318","2015-07-10",NULL
58,"NUR","Gamita","Banerjee","1978-02-15","8ljqbfu7s87ww8rt5y","F","192802","259166","2015-05-10",NULL
59,"NUR","Naresh","Mehta","1960-09-20","263yzxzv40nhi05yi9","M","48465","664665","2011-02-12",NULL
60,"NUR","Jhansi","Gandhi","1974-10-27","4d26edwlbwt5tqobgt","F","414437","390357","2018-07-29",NULL
61,"NUR","Parita","Thakkar","1962-02-20","b6kvf0672ikbbwms0s","F","751962","612926","2018-10-01",NULL
62,"NUR","Payal","Panara","1968-09-10","29ezio6nvfhbzmz7rb","F","904678","132190","2015-10-11",NULL
63,"NUR","Dhwani","Shah","1972-12-01","o38cf1wt3wpsdxwpme","F","145648","256394","2011-01-04",NULL
64,"NUR","Hiral","Adesara","1965-08-20","t678c8y5b9cgzj6lx4","F","777613","399171","2010-10-12",NULL
65,"NUR","Kinjal","Patel","1975-03-16","fzu0z9rrlvfuacz6fn","F","472010","292321","2009-06-08",NULL
66,"NUR","Kajal","Singh","1984-05-19","adz0ozfjt9v3amry0p","F","44806","898614","2016-09-10",NULL
67,"NUR","Rajesh","Lahiri","1977-07-02","5eb2bgdomol2xm4o3b","M","423412","53633","2018-02-26",NULL
68,"NUR","Saif","Khan","1980-03-16","x42138hfwdmtpwnb0a","M","92053","693090","2010-06-12",NULL
69,"NUR","Maitri","Manek","1974-01-07","f2j7ubxcz3ttmgy9if","F","341305","1006274","2014-07-02",NULL
70,"NUR","Harshit","Agarwal","1972-11-16","hn2l779qzrit8g705z","M","490278","639727","2016-06-12",NULL
